
[Batch41000]-[Total_loss:0.437886]-[Dloss:-,Dloss2:-]-[mse:0.008801, loss_GAN1:0.742834, loss_GAN2:0.637688]
[Batch42000]-[Total_loss:0.427467]-[Dloss:-,Dloss2:-]-[mse:0.009731, loss_GAN1:0.746282, loss_GAN2:0.637410]
[Batch43000]-[Total_loss:0.380855]-[Dloss:-,Dloss2:-]-[mse:0.007617, loss_GAN1:0.743528, loss_GAN2:0.640111]
[Batch44000]-[Total_loss:0.429284]-[Dloss:-,Dloss2:-]-[mse:0.006239, loss_GAN1:0.749628, loss_GAN2:0.639114]
[Batch45000]-[Total_loss:0.461453]-[Dloss:-,Dloss2:-]-[mse:0.006151, loss_GAN1:0.744218, loss_GAN2:0.637312]
[Batch46000]-[Total_loss:0.333135]-[Dloss:-,Dloss2:-]-[mse:0.006835, loss_GAN1:0.746599, loss_GAN2:0.641362]
[Batch47000]-[Total_loss:0.429793]-[Dloss:-,Dloss2:-]-[mse:0.007578, loss_GAN1:0.744681, loss_GAN2:0.635322]
[Batch48000]-[Total_loss:0.450950]-[Dloss:-,Dloss2:-]-[mse:0.004878, loss_GAN1:0.744626, loss_GAN2:0.640711]
[Batch49000]-[Total_loss:0.434384]-[Dloss:-,Dloss2:-]-[mse:0.009461, loss_GAN1:0.746504, loss_GAN2:0.638975]
[Batch50000]-[Total_loss:0.435988]-[Dloss:-,Dloss2:-]-[mse:0.004594, loss_GAN1:0.749560, loss_GAN2:0.639128]
[Batch51000]-[Total_loss:0.364003]-[Dloss:-,Dloss2:-]-[mse:0.005104, loss_GAN1:0.739998, loss_GAN2:0.637603]
[Batch52000]-[Total_loss:0.396673]-[Dloss:-,Dloss2:-]-[mse:0.007010, loss_GAN1:0.744818, loss_GAN2:0.638931]
[Batch53000]-[Total_loss:0.389764]-[Dloss:-,Dloss2:-]-[mse:0.007741, loss_GAN1:0.748706, loss_GAN2:0.638391]
[Batch54000]-[Total_loss:0.361286]-[Dloss:-,Dloss2:-]-[mse:0.006677, loss_GAN1:0.745746, loss_GAN2:0.639798]
[Batch55000]-[Total_loss:0.329767]-[Dloss:-,Dloss2:-]-[mse:0.007894, loss_GAN1:0.748846, loss_GAN2:0.638391]
[Batch56000]-[Total_loss:0.431281]-[Dloss:-,Dloss2:-]-[mse:0.005720, loss_GAN1:0.747765, loss_GAN2:0.636669]
